ADDIU 001001ssssstttttiiiiiiiiiiiiiiii
ADDU 000000ssssstttttddddd00000100001
SLT 000000ssssstttttddddd00000101010
SLTI 001010ssssstttttiiiiiiiiiiiiiiii
SLTIU 001011ssssstttttiiiiiiiiiiiiiiii
SLTU 000000ssssstttttddddd00000101011
SUBU 000000ssssstttttddddd00000100011
MULT 000000sssssttttt0000000000011000
MFLO 0000000000000000ddddd00000010010
MFHI 0000000000000000ddddd00000010000
MTLO 000000sssss000000000000000010011
MTHI 000000sssss000000000000000010001
BEQ 000100ssssstttttoooooooooooooooo
BGEZ 000001sssss00001oooooooooooooooo
BGTZ 000111sssss00000oooooooooooooooo
BLEZ 000110sssss00000oooooooooooooooo
BLTZ 000001sssss00000oooooooooooooooo
BNE 000101ssssstttttoooooooooooooooo
J 000010iiiiiiiiiiiiiiiiiiiiiiiiii
JAL 000011iiiiiiiiiiiiiiiiiiiiiiiiii
JALR 000000sssss00000dddddhhhhh001001
JR 000000sssss0000000000hhhhh001000
LW 100011bbbbbtttttoooooooooooooooo
SW 101011bbbbbtttttoooooooooooooooo
LB 100000bbbbbtttttoooooooooooooooo
LBU 100100bbbbbtttttoooooooooooooooo
SB 101000bbbbbtttttoooooooooooooooo
AND 000000ssssstttttddddd00000100100
ANDI 001100ssssstttttiiiiiiiiiiiiiiii
LUI 00111100000tttttiiiiiiiiiiiiiiii
NOR 000000ssssstttttddddd00000100111
OR 000000ssssstttttddddd00000100101
ORI 001101ssssstttttiiiiiiiiiiiiiiii
XOR 000000ssssstttttddddd00000100110
XORI 001110ssssstttttiiiiiiiiiiiiiiii
SLL 00000000000tttttdddddaaaaa000000
SLLV 000000ssssstttttddddd00000000100
SRA 00000000000tttttdddddaaaaa000011
SRAV 000000ssssstttttddddd00000000111
SRL 00000000000tttttdddddaaaaa000010
SRLV 000000ssssstttttddddd00000000110
SYSCALL 000000cccccccccccccccccccc001100
CACHE 101111bbbbbpppppoooooooooooooooo
ERET 01000010000000000000000000011000
MFC0 01000000000tttttddddd00000000lll
MTC0 01000000100tttttddddd00000000lll
TLBWI 01000010000000000000000000000010
TLBWR 01000010000000000000000000000110
LHU 100101bbbbbtttttoooooooooooooooo

